signal_id,timestamp,symbol,alert_type,confidence,entry_price,tp1,tp2,stop_loss,risk_reward_ratio,factors_bullish,factors_bearish,rvol,volume_spike,confluence_score,gap_detected,news_impact,status,outcome_timestamp,outcome_price,profit_loss_percent,actual_rr_achieved
QQQ_20251013_142948,2025-10-13T14:29:48.344933,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,True,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_142948,2025-10-13T14:29:48.364045,TSLA,STRONG BUY,35.7,425.33,422.2,430.91,425.03,10.43,10,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_142948,2025-10-13T14:29:48.607814,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,False,6,True,EXTREME,OPEN,,,,
AMZN_20251013_142957,2025-10-13T14:29:57.099473,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,False,8,True,MEDIUM,OPEN,,,,
AVGO_20251013_142957,2025-10-13T14:29:57.178306,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
QQQ_20251013_143017,2025-10-13T14:30:17.430505,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
TSLA_20251013_143017,2025-10-13T14:30:17.549522,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143017,2025-10-13T14:30:17.567710,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,False,6,True,EXTREME,OPEN,,,,
AVGO_20251013_143023,2025-10-13T14:30:23.492152,AVGO,BUY,32.1,343.62,331.93,339.23,343.32,38.97,9,3,1.49,False,2,True,EXTREME,OPEN,,,,
AMZN_20251013_143023,2025-10-13T14:30:23.780997,AMZN,BUY,32.1,217.14,219.74,223.11,216.84,8.67,9,6,0.4,True,8,True,MEDIUM,OPEN,,,,
TSLA_20251013_143031,2025-10-13T14:30:31.238495,TSLA,BUY,32.1,425.33,422.2,430.91,425.03,10.43,9,4,0.35,False,2,True,MEDIUM,OPEN,,,,
NVDA_20251013_143032,2025-10-13T14:30:32.256928,NVDA,STRONG BUY,46.4,186.06,186.89,190.62,185.76,2.77,13,3,0.44,False,6,True,EXTREME,OPEN,,,,
QQQ_20251013_143035,2025-10-13T14:30:35.176872,QQQ,STRONG BUY,50.0,597.33,596.14,602.77,597.03,3.97,14,6,0.63,False,9,True,MEDIUM,OPEN,,,,
